受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-02-27,160008,富山県,,1614
2020-02-28,160008,富山県,,144
2020-02-29,160008,富山県,,43
2020-03-01,160008,富山県,,29
2020-03-02,160008,富山県,,165
2020-03-03,160008,富山県,,129
2020-03-04,160008,富山県,,113
2020-03-05,160008,富山県,,90
2020-03-06,160008,富山県,,102
2020-03-07,160008,富山県,,20
2020-03-08,160008,富山県,,44
2020-03-09,160008,富山県,,145
2020-03-10,160008,富山県,,127
2020-03-11,160008,富山県,,82
2020-03-12,160008,富山県,,94
2020-03-13,160008,富山県,,90
2020-03-14,160008,富山県,,30
2020-03-15,160008,富山県,,28
2020-03-16,160008,富山県,,125
2020-03-17,160008,富山県,,75
2020-03-18,160008,富山県,,72
2020-03-19,160008,富山県,,89
2020-03-20,160008,富山県,,28
2020-03-21,160008,富山県,,40
2020-03-22,160008,富山県,,31
2020-03-23,160008,富山県,,103
2020-03-24,160008,富山県,,72
2020-03-25,160008,富山県,,87
2020-03-26,160008,富山県,,73
2020-03-27,160008,富山県,,131
2020-03-28,160008,富山県,,58
2020-03-29,160008,富山県,,40
2020-03-30,160008,富山県,,217
2020-03-31,160008,富山県,,446
2020-04-01,160008,富山県,,781
2020-04-02,160008,富山県,,601
2020-04-03,160008,富山県,,602
2020-04-04,160008,富山県,,331
2020-04-05,160008,富山県,,335
2020-04-06,160008,富山県,,681
2020-04-07,160008,富山県,,450
2020-04-08,160008,富山県,,500
2020-04-09,160008,富山県,,521
2020-04-10,160008,富山県,,644
2020-04-11,160008,富山県,,255
2020-04-12,160008,富山県,,263
2020-04-13,160008,富山県,,651
2020-04-14,160008,富山県,,743
2020-04-15,160008,富山県,,527
2020-04-16,160008,富山県,,551
2020-04-17,160008,富山県,,591
2020-04-18,160008,富山県,,273
2020-04-19,160008,富山県,,220
2020-04-20,160008,富山県,,660
2020-04-21,160008,富山県,,500
2020-04-22,160008,富山県,,416
2020-04-23,160008,富山県,,415
2020-04-24,160008,富山県,,536
2020-04-25,160008,富山県,,238
2020-04-26,160008,富山県,,148
2020-04-27,160008,富山県,,503
2020-04-28,160008,富山県,,285
2020-04-29,160008,富山県,,116
2020-04-30,160008,富山県,,356
2020-05-01,160008,富山県,,257
2020-05-02,160008,富山県,,132
2020-05-03,160008,富山県,,119
2020-05-04,160008,富山県,,180
2020-05-05,160008,富山県,,133
2020-05-06,160008,富山県,,182
2020-05-07,160008,富山県,,318
2020-05-08,160008,富山県,,171
2020-05-09,160008,富山県,,136
2020-05-10,160008,富山県,,128
2020-05-11,160008,富山県,,304
2020-05-12,160008,富山県,,186
2020-05-13,160008,富山県,,174
2020-05-14,160008,富山県,,177
2020-05-15,160008,富山県,,188
2020-05-16,160008,富山県,,70
2020-05-17,160008,富山県,,56
2020-05-18,160008,富山県,,164
2020-05-19,160008,富山県,,120
2020-05-20,160008,富山県,,102
2020-05-21,160008,富山県,,86
2020-05-22,160008,富山県,,86
2020-05-23,160008,富山県,,50
2020-05-24,160008,富山県,,18
2020-05-25,160008,富山県,,
